Dimensionless Injection Time,Dimensionless Differential Pressure
0,1
0.001445087,1
0.002890173,1
0.00433526,1
0.005780347,1.000630915
0.007225434,1.000630915
0.00867052,1.000630915
0.010115607,1.000630915
0.011560694,1.000630915
0.01300578,1
0.014450867,1
0.015895954,1
0.01734104,1
0.018786127,0.999369085
0.020231214,1
0.021676301,1
0.023121387,1
0.024566474,0.999369085
0.026011561,0.999369085
0.027456647,0.999369085
0.028901734,0.999369085
0.030346821,0.999369085
0.031791908,0.999369085
0.033236994,0.999369085
0.034682081,0.999369085
0.036127168,0.999369085
0.037572254,0.999369085
0.039017341,0.999369085
0.040462428,0.999369085
0.041907514,0.99873817
0.043352601,0.999369085
0.044797688,0.999369085
0.046242775,1
0.047687861,0.999369085
0.049132948,1
0.050578035,1
0.052023121,1
0.053468208,1
0.054913295,1
0.056358382,1
0.057803468,1
0.059248555,1
0.060693642,1
0.062138728,1
0.063583815,1
0.065028902,1
0.066473988,1
0.067919075,0.999369085
0.069364162,0.999369085
0.070809249,0.999369085
0.072254335,0.99873817
0.073699422,0.99873817
0.075144509,0.99873817
0.076589595,0.99873817
0.078034682,0.99873817
0.079479769,0.998107256
0.080924855,0.998107256
0.082369942,0.998107256
0.083815029,0.997476341
0.085260116,0.998107256
0.086705202,0.997476341
0.088150289,0.997476341
0.089595376,0.997476341
0.091040462,0.996845426
0.092485549,0.996845426
0.093930636,0.996214511
0.095375723,0.996845426
0.096820809,0.996214511
0.098265896,0.996214511
0.099710983,0.996214511
0.101156069,0.996214511
0.102601156,0.995583596
0.104046243,0.995583596
0.105491329,0.995583596
0.106936416,0.994952681
0.108381503,0.994952681
0.10982659,0.994952681
0.111271676,0.994321767
0.112716763,0.993690852
0.11416185,0.993059937
0.115606936,0.993059937
0.117052023,0.992429022
0.11849711,0.991798107
0.119942197,0.991167192
0.121387283,0.990536278
0.12283237,0.989905363
0.124277457,0.989274448
0.125722543,0.988643533
0.12716763,0.988643533
0.128612717,0.988012618
0.130057803,0.987381703
0.13150289,0.986750789
0.132947977,0.985488959
0.134393064,0.984858044
0.13583815,0.984858044
0.137283237,0.984227129
0.138728324,0.983596215
0.14017341,0.982334385
0.141618497,0.98170347
0.143063584,0.981072555
0.144508671,0.98044164
0.145953757,0.979810726
0.147398844,0.979179811
0.148843931,0.978548896
0.150289017,0.977917981
0.151734104,0.977287066
0.153179191,0.977287066
0.154624277,0.976025237
0.156069364,0.975394322
0.157514451,0.974763407
0.158959538,0.974132492
0.160404624,0.972870662
0.161849711,0.972239748
0.163294798,0.971608833
0.164739884,0.970347003
0.166184971,0.969716088
0.167630058,0.969085174
0.169075145,0.967823344
0.170520231,0.967192429
0.171965318,0.965930599
0.173410405,0.96466877
0.174855491,0.964037855
0.176300578,0.962776025
0.177745665,0.96214511
0.179190751,0.960883281
0.180635838,0.960252366
0.182080925,0.958990536
0.183526012,0.958359621
0.184971098,0.956466877
0.186416185,0.955205047
0.187861272,0.954574132
0.189306358,0.953943218
0.190751445,0.952681388
0.192196532,0.951419558
0.193641618,0.950788644
0.195086705,0.949526814
0.196531792,0.948264984
0.197976879,0.947003155
0.199421965,0.94637224
0.200867052,0.94511041
0.202312139,0.94384858
0.203757225,0.942586751
0.205202312,0.941955836
0.206647399,0.940694006
0.208092486,0.939432177
0.209537572,0.938170347
0.210982659,0.936908517
0.212427746,0.936277603
0.213872832,0.934384858
0.215317919,0.933123028
0.216763006,0.931861199
0.218208092,0.930599369
0.219653179,0.929337539
0.221098266,0.92807571
0.222543353,0.92681388
0.223988439,0.92555205
0.225433526,0.923659306
0.226878613,0.922397476
0.228323699,0.921135647
0.229768786,0.919873817
0.231213873,0.918611987
0.23265896,0.916719243
0.234104046,0.916088328
0.235549133,0.914195584
0.23699422,0.912933754
0.238439306,0.911041009
0.239884393,0.90977918
0.24132948,0.909148265
0.242774566,0.907255521
0.244219653,0.905993691
0.24566474,0.904731861
0.247109827,0.903470032
0.248554913,0.902208202
0.25,0.900315457
0.251445087,0.899053628
0.252890173,0.897791798
0.25433526,0.896529968
0.255780347,0.894637224
0.257225434,0.894006309
0.25867052,0.892113565
0.260115607,0.890851735
0.261560694,0.889589905
0.26300578,0.888328076
0.264450867,0.886435331
0.265895954,0.884542587
0.26734104,0.883280757
0.268786127,0.882018927
0.270231214,0.880757098
0.271676301,0.878864353
0.273121387,0.877602524
0.274566474,0.876340694
0.276011561,0.875078864
0.277456647,0.87318612
0.278901734,0.871293375
0.280346821,0.870662461
0.281791908,0.868769716
0.283236994,0.868138801
0.284682081,0.866246057
0.286127168,0.864984227
0.287572254,0.863722397
0.289017341,0.862460568
0.290462428,0.861198738
0.291907514,0.859936909
0.293352601,0.858675079
0.294797688,0.856782334
0.296242775,0.855520505
0.297687861,0.854258675
0.299132948,0.852996845
0.300578035,0.851735016
0.302023121,0.849842271
0.303468208,0.849211356
0.304913295,0.847949527
0.306358382,0.846687697
0.307803468,0.844794953
0.309248555,0.843533123
0.310693642,0.842271293
0.312138728,0.841009464
0.313583815,0.839747634
0.315028902,0.83785489
0.316473988,0.83659306
0.317919075,0.83533123
0.319364162,0.833438486
0.320809249,0.832807571
0.322254335,0.830914826
0.323699422,0.829652997
0.325144509,0.828391167
0.326589595,0.826498423
0.328034682,0.825236593
0.329479769,0.823974763
0.330924855,0.822712934
0.332369942,0.821451104
0.333815029,0.820189274
0.335260116,0.818927445
0.336705202,0.817665615
0.338150289,0.816403785
0.339595376,0.815141956
0.341040462,0.813880126
0.342485549,0.812618297
0.343930636,0.811356467
0.345375723,0.810725552
0.346820809,0.809463722
0.348265896,0.808201893
0.349710983,0.806940063
0.351156069,0.806309148
0.352601156,0.805047319
0.354046243,0.804416404
0.355491329,0.803785489
0.356936416,0.802523659
0.358381503,0.801892744
0.35982659,0.800630915
0.361271676,0.799369085
0.362716763,0.793690852
0.36416185,0.793638427
0.365606936,0.793579533
0.367052023,0.790801467
0.36849711,0.791816018
0.369942197,0.790293267
0.371387283,0.787426806
0.37283237,0.787443654
0.374277457,0.788248413
0.375722543,0.784274531
0.37716763,0.786224625
0.378612717,0.783943882
0.380057803,0.785474034
0.38150289,0.783282366
0.382947977,0.781861106
0.384393064,0.780931014
0.38583815,0.780205809
0.387283237,0.78049428
0.388728324,0.780642381
0.39017341,0.778082044
0.391618497,0.776682173
0.393063584,0.777860352
0.394508671,0.775204873
0.395953757,0.776363752
0.397398844,0.773184004
0.398843931,0.77189561
0.400289017,0.771793845
0.401734104,0.772314038
0.403179191,0.771187386
0.404624277,0.768406856
0.406069364,0.771840693
0.407514451,0.767781356
0.408959538,0.768235154
0.410404624,0.767730697
0.411849711,0.767741731
0.413294798,0.764063711
0.414739884,0.765471555
0.416184971,0.763173919
0.417630058,0.761419094
0.419075145,0.762409676
0.420520231,0.761165035
0.421965318,0.761175011
0.423410405,0.75983411
0.424855491,0.759536123
0.426300578,0.760241306
0.427745665,0.757258
0.429190751,0.756163477
0.430635838,0.755001254
0.432080925,0.754690108
0.433526012,0.753121732
0.434971098,0.752292919
0.436416185,0.75340369
0.437861272,0.751755595
0.439306358,0.749814857
0.440751445,0.748029116
0.442196532,0.749297848
0.443641618,0.747054114
0.445086705,0.748370652
0.446531792,0.746948617
0.447976879,0.746129612
0.449421965,0.745646296
0.450867052,0.743705997
0.452312139,0.742225379
0.453757225,0.742210237
0.455202312,0.741153214
0.456647399,0.742344065
0.458092486,0.740877454
0.459537572,0.739703936
0.460982659,0.739027212
0.462427746,0.736755486
0.463872832,0.736910041
0.465317919,0.7361596
0.466763006,0.734746586
0.468208092,0.735156683
0.469653179,0.735858443
0.471098266,0.731987577
0.472543353,0.733329975
0.473988439,0.729588519
0.475433526,0.729346359
0.476878613,0.728454849
0.478323699,0.729835308
0.479768786,0.728156661
0.481213873,0.725901818
0.48265896,0.727026798
0.484104046,0.72555205
0.485549133,0.724921136
0.48699422,0.724921136
0.488439306,0.724290221
0.489884393,0.724290221
0.49132948,0.723659306
0.492774566,0.723028391
0.494219653,0.722397476
0.49566474,0.721766562
0.497109827,0.721135647
0.498554913,0.721135647
0.5,0.719873817
0.501445087,0.719242902
0.502890173,0.718611987
0.50433526,0.717350158
0.505780347,0.716719243
0.507225434,0.715457413
0.50867052,0.714826498
0.510115607,0.713564669
0.511560694,0.712302839
0.51300578,0.711041009
0.514450867,0.70977918
0.515895954,0.70851735
0.51734104,0.707255521
0.518786127,0.705362776
0.520231214,0.704100946
0.521676301,0.702839117
0.523121387,0.700946372
0.524566474,0.700315457
0.526011561,0.699053628
0.527456647,0.698422713
0.528901734,0.696529968
0.530346821,0.695268139
0.531791908,0.694006309
0.533236994,0.692744479
0.534682081,0.690851735
0.536127168,0.69022082
0.537572254,0.688958991
0.539017341,0.687697161
0.540462428,0.687066246
0.541907514,0.686435331
0.543352601,0.684542587
0.544797688,0.683280757
0.546242775,0.681388013
0.547687861,0.680126183
0.549132948,0.679495268
0.550578035,0.678233438
0.552023121,0.676971609
0.553468208,0.675078864
0.554913295,0.67318612
0.556358382,0.67192429
0.557803468,0.670031546
0.559248555,0.669400631
0.560693642,0.667507886
0.562138728,0.666246057
0.563583815,0.665615142
0.565028902,0.663722397
0.566473988,0.662460568
0.567919075,0.660567823
0.569364162,0.659305994
0.570809249,0.658044164
0.572254335,0.65615142
0.573699422,0.654258675
0.575144509,0.652996845
0.576589595,0.651735016
0.578034682,0.649842271
0.579479769,0.649211356
0.580924855,0.647949527
0.582369942,0.646687697
0.583815029,0.644794953
0.585260116,0.643533123
